Place,Latitude,Longitude,Info
Epsom JCP, 51.33629592837589, -0.26073755875825266 ,Already Engaging
Guildford JCP, 51.239203197229806, -0.575524702943616 ,Already Engaging
Staines JCP, 51.43619582428579, -0.5023745875877849 ,Already Engaging
Camberley JCP, 51.339153520020204, -0.7432806029373182 ,In Progress
Redhill JCP, 51.24129843909322, -0.1682921894510581 ,In Progress
Woking JCP, 51.32103381359838, -0.5586678627290599 ,In Progress
Weybridge JCP, 51.37346831446336, -0.45486347224838214 ,In Progress
Surrey Community Corrections, 51.31858619943632, -0.5589191967533023 ,Potential Partner
HM Prison Send, 51.26748841657952, -0.48635538944939866 ,Potential Partner
Surrey Probation Services, 51.318575047580744, -0.5589615874380206 ,Potential Partner
Surrey Chambers of Commerce, 51.327446137724365, -0.5408526029380221 ,Potential Partner
Surrey Welfare Rights Unit, 51.32740213369156, -0.5410885029380924 ,Potential Partner
Community Foundation for Surrey, 51.23668433248192, -0.5782032029437671 ,Potential Partner
YMCA East Surrey, 51.225712132481, -0.1691408452727661 ,Potential Partner